 ,  ,performance
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.928571429
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.8
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.833333333
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.875
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.857142857
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.916666667
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.9
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.916666667
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.923076923
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.875
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.833333333
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,0.2
PTRec,recall,1
PTRec,savedEffort,0
PTRec,precision,0.333333333
PTRec,recall,1
PTRec,savedEffort,0.5
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,1
PTRec,recall,0.333333333
PTRec,savedEffort,0.8
PTRec,precision,1
PTRec,recall,0.333333333
PTRec,savedEffort,0.8
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.571428571
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.8
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,0.25
PTRec,recall,1
PTRec,savedEffort,0.5
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.666666667
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,0.75
PTRec,recall,1
PTRec,savedEffort,0.5
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.875
PTRec,precision,1
PTRec,recall,0.5
PTRec,savedEffort,0.833333333
PTRec,precision,1
PTRec,recall,0.333333333
PTRec,savedEffort,0.8
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.833333333
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.714285714
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.833333333
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.8
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.857142857
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.875
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.909090909
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.857142857
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.909090909
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.909090909
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.909090909
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.909090909
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.875
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.875
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.833333333
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.833333333
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.8
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.9
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.875
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.9
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.75
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.8
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.833333333
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.875
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.916666667
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.833333333
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.9
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.8
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.857142857
PTRec,precision,0
PTRec,recall,0
PTRec,savedEffort,1
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.875
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.909090909
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.833333333
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.9
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.9
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.923076923
PTRec,precision,1
PTRec,recall,1
PTRec,savedEffort,0.888888889
InterestDriven,precision,0.111111111
InterestDriven,recall,1
InterestDriven,savedEffort,0.357142857
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.888888889
InterestDriven,precision,1
InterestDriven,recall,0.6
InterestDriven,savedEffort,0.4
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.625
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.888888889
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.857142857
InterestDriven,precision,0.083333333
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,0.5
InterestDriven,savedEffort,0.9
InterestDriven,precision,0.4
InterestDriven,recall,1
InterestDriven,savedEffort,0.545454545
InterestDriven,precision,0.083333333
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.076923077
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.125
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.166666667
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.25
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.8
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.833333333
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.833333333
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.8
InterestDriven,precision,1
InterestDriven,recall,0.333333333
InterestDriven,savedEffort,0.8
InterestDriven,precision,0.6
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.25
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.857142857
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.75
InterestDriven,precision,0
InterestDriven,recall,0
InterestDriven,savedEffort,1
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.166666667
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.166666667
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.375
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.166666667
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.75
InterestDriven,precision,0.333333333
InterestDriven,recall,1
InterestDriven,savedEffort,0.25
InterestDriven,precision,0
InterestDriven,recall,0
InterestDriven,savedEffort,1
InterestDriven,precision,0.25
InterestDriven,recall,1
InterestDriven,savedEffort,0.5
InterestDriven,precision,0.333333333
InterestDriven,recall,1
InterestDriven,savedEffort,0.625
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.333333333
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.5
InterestDriven,precision,0.5
InterestDriven,recall,1
InterestDriven,savedEffort,0.428571429
InterestDriven,precision,0.75
InterestDriven,recall,1
InterestDriven,savedEffort,0.428571429
InterestDriven,precision,0
InterestDriven,recall,0
InterestDriven,savedEffort,1
InterestDriven,precision,0
InterestDriven,recall,0
InterestDriven,savedEffort,1
InterestDriven,precision,0
InterestDriven,recall,0
InterestDriven,savedEffort,1
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.833333333
InterestDriven,precision,0.25
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0
InterestDriven,recall,0
InterestDriven,savedEffort,1
InterestDriven,precision,0.8
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.857142857
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.875
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.909090909
InterestDriven,precision,0
InterestDriven,recall,0
InterestDriven,savedEffort,1
InterestDriven,precision,1
InterestDriven,recall,0.5
InterestDriven,savedEffort,0.888888889
InterestDriven,precision,1
InterestDriven,recall,0.666666667
InterestDriven,savedEffort,0.818181818
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.727272727
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.727272727
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.727272727
InterestDriven,precision,0.142857143
InterestDriven,recall,1
InterestDriven,savedEffort,0.125
InterestDriven,precision,0.5
InterestDriven,recall,1
InterestDriven,savedEffort,0.777777778
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.888888889
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.75
InterestDriven,precision,0.25
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.333333333
InterestDriven,precision,0.222222222
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.166666667
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.2
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.4
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.363636364
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.25
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.333333333
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.3
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,0.6
InterestDriven,savedEffort,0.4
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.125
InterestDriven,precision,0.083333333
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0
InterestDriven,recall,0
InterestDriven,savedEffort,1
InterestDriven,precision,1
InterestDriven,recall,0.3
InterestDriven,savedEffort,0.7
InterestDriven,precision,0.4
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.285714286
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.111111111
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.111111111
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.75
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0.909090909
InterestDriven,precision,0
InterestDriven,recall,0
InterestDriven,savedEffort,1
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,1
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.153846154
InterestDriven,recall,1
InterestDriven,savedEffort,0
InterestDriven,precision,0.111111111
InterestDriven,recall,1
InterestDriven,savedEffort,0
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.928571429
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.888888889
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,0.5
Naive,savedEffort,0.9
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.923076923
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.875
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.833333333
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.75
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.8
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,0.333333333
Naive,savedEffort,0.8
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0.5
Naive,recall,1
Naive,savedEffort,0.666666667
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.75
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.875
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,0.25
Naive,savedEffort,0.75
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.833333333
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,0.5
Naive,savedEffort,0.75
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0.5
Naive,recall,1
Naive,savedEffort,0.714285714
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.875
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,0.5
Naive,savedEffort,0.833333333
Naive,precision,1
Naive,recall,0.5
Naive,savedEffort,0.888888889
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.833333333
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,0.5
Naive,savedEffort,0.875
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,0.333333333
Naive,savedEffort,0.916666667
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.6
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.714285714
Naive,precision,1
Naive,recall,0.4
Naive,savedEffort,0.6
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,1
Naive,savedEffort,0.888888889
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,1
Naive,recall,0.111111111
Naive,savedEffort,0.888888889
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
Naive,precision,0
Naive,recall,0
Naive,savedEffort,1
